,0
als_m1_id_nbank_ca_orgnum,61193
als_m1_id_nbank_cf_orgnum,56168
als_m1_id_nbank_com_orgnum,92240
als_m1_id_nbank_oth_orgnum,70318
als_m1_id_nbank_nsloan_orgnum,66175
als_m1_id_nbank_autofin_orgnum,93245
als_m1_id_nbank_sloan_orgnum,73542
als_m1_id_nbank_cons_orgnum,69756
als_m1_id_nbank_finlea_orgnum,89046
als_m1_id_nbank_else_orgnum,56928
als_m1_id_nbank_week_allnum,43339
als_m1_id_nbank_week_orgnum,43339
als_m1_id_nbank_night_allnum,43339
als_m1_id_nbank_night_orgnum,43339
als_m1_cell_pdl_allnum,58163
als_m1_cell_pdl_orgnum,58163
als_m1_cell_caon_allnum,63777
als_m1_cell_caon_orgnum,63777
als_m1_cell_rel_allnum,74554
als_m1_cell_rel_orgnum,74554
als_m1_cell_caoff_allnum,82797
als_m1_cell_caoff_orgnum,82797
als_m1_cell_cooff_allnum,84875
als_m1_cell_cooff_orgnum,84875
als_m1_cell_af_allnum,92459
als_m1_cell_af_orgnum,92459
als_m1_cell_coon_allnum,88113
als_m1_cell_coon_orgnum,88113
als_m1_cell_oth_allnum,77712
als_m1_cell_oth_orgnum,77712
als_m1_cell_bank_selfnum,80334
als_m1_cell_bank_allnum,80334
als_m1_cell_bank_tra_allnum,80461
als_m1_cell_bank_ret_allnum,93106
als_m1_cell_bank_orgnum,80334
als_m1_cell_bank_tra_orgnum,80461
als_m1_cell_bank_ret_orgnum,93106
als_m1_cell_bank_week_allnum,80334
als_m1_cell_bank_week_orgnum,80334
als_m1_cell_bank_night_allnum,80334
als_m1_cell_bank_night_orgnum,80334
als_m1_cell_nbank_selfnum,44963
als_m1_cell_nbank_allnum,44963
als_m1_cell_nbank_p2p_allnum,78403
als_m1_cell_nbank_mc_allnum,89095
als_m1_cell_nbank_ca_allnum,61802
als_m1_cell_nbank_cf_allnum,57275
als_m1_cell_nbank_com_allnum,92267
als_m1_cell_nbank_oth_allnum,70936
als_m1_cell_nbank_nsloan_allnum,68162
als_m1_cell_nbank_autofin_allnum,93247
als_m1_cell_nbank_sloan_allnum,73825
als_m1_cell_nbank_cons_allnum,70558
als_m1_cell_nbank_finlea_allnum,89205
als_m1_cell_nbank_else_allnum,57935
als_m1_cell_nbank_orgnum,44963
als_m1_cell_nbank_p2p_orgnum,78403
als_m1_cell_nbank_mc_orgnum,89095
als_m1_cell_nbank_ca_orgnum,61802
als_m1_cell_nbank_cf_orgnum,57275
als_m1_cell_nbank_com_orgnum,92267
als_m1_cell_nbank_oth_orgnum,70936
als_m1_cell_nbank_nsloan_orgnum,68162
als_m1_cell_nbank_autofin_orgnum,93247
als_m1_cell_nbank_sloan_orgnum,73825
als_m1_cell_nbank_cons_orgnum,70558
als_m1_cell_nbank_finlea_orgnum,89205
als_m1_cell_nbank_else_orgnum,57935
als_m1_cell_nbank_week_allnum,44963
als_m1_cell_nbank_week_orgnum,44963
als_m1_cell_nbank_night_allnum,44963
als_m1_cell_nbank_night_orgnum,44963
als_m3_id_max_inteday,39473
als_m3_id_min_inteday,39473
als_m3_id_tot_mons,25215
als_m3_id_avg_monnum,25215
als_m3_id_max_monnum,25215
als_m3_id_min_monnum,25215
als_m3_id_pdl_allnum,44311
als_m3_id_pdl_orgnum,44311
als_m3_id_caon_allnum,51137
als_m3_id_caon_orgnum,51137
als_m3_id_rel_allnum,60504
als_m3_id_rel_orgnum,60504
als_m3_id_caoff_allnum,73034
als_m3_id_caoff_orgnum,73034
als_m3_id_cooff_allnum,76190
als_m3_id_cooff_orgnum,76190
als_m3_id_af_allnum,91600
als_m3_id_af_orgnum,91600
als_m3_id_coon_allnum,82724
als_m3_id_coon_orgnum,82724
als_m3_id_oth_allnum,64217
als_m3_id_oth_orgnum,64217
als_m3_id_bank_selfnum,69266
als_m3_id_bank_allnum,69266
als_m3_id_bank_tra_allnum,69546
als_m3_id_bank_ret_allnum,92840
als_m3_id_bank_orgnum,69266
als_m3_id_bank_tra_orgnum,69546
als_m3_id_bank_ret_orgnum,92840
als_m3_id_bank_tot_mons,69277
als_m3_id_bank_avg_monnum,69277
als_m3_id_bank_max_monnum,69277
als_m3_id_bank_min_monnum,69277
als_m3_id_bank_max_inteday,86109
als_m3_id_bank_min_inteday,86109
als_m3_id_bank_week_allnum,69266
als_m3_id_bank_week_orgnum,69266
als_m3_id_bank_night_allnum,69266
als_m3_id_bank_night_orgnum,69266
als_m3_id_nbank_selfnum,29830
als_m3_id_nbank_allnum,29830
als_m3_id_nbank_p2p_allnum,65359
als_m3_id_nbank_mc_allnum,85898
als_m3_id_nbank_ca_allnum,50431
als_m3_id_nbank_cf_allnum,40903
als_m3_id_nbank_com_allnum,91282
als_m3_id_nbank_oth_allnum,59426
als_m3_id_nbank_nsloan_allnum,55017
als_m3_id_nbank_autofin_allnum,93229
als_m3_id_nbank_sloan_allnum,59689
als_m3_id_nbank_cons_allnum,56615
als_m3_id_nbank_finlea_allnum,83900
als_m3_id_nbank_else_allnum,44819
als_m3_id_nbank_orgnum,29830
als_m3_id_nbank_p2p_orgnum,65359
als_m3_id_nbank_mc_orgnum,85898
als_m3_id_nbank_ca_orgnum,50431
als_m3_id_nbank_cf_orgnum,40903
als_m3_id_nbank_com_orgnum,91282
als_m3_id_nbank_oth_orgnum,59426
als_m3_id_nbank_nsloan_orgnum,55017
als_m3_id_nbank_autofin_orgnum,93229
als_m3_id_nbank_sloan_orgnum,59689
als_m3_id_nbank_cons_orgnum,56615
als_m3_id_nbank_finlea_orgnum,83900
als_m3_id_nbank_else_orgnum,44819
als_m3_id_nbank_tot_mons,29838
als_m3_id_nbank_avg_monnum,29838
als_m3_id_nbank_max_monnum,29838
als_m3_id_nbank_min_monnum,29838
als_m3_id_nbank_max_inteday,43042
als_m3_id_nbank_min_inteday,43042
als_m3_id_nbank_week_allnum,29830
als_m3_id_nbank_week_orgnum,29830
als_m3_id_nbank_night_allnum,29830
als_m3_id_nbank_night_orgnum,29830
als_m3_cell_max_inteday,40438
als_m3_cell_min_inteday,40438
als_m3_cell_tot_mons,25685
als_m3_cell_avg_monnum,25685
als_m3_cell_max_monnum,25685
als_m3_cell_min_monnum,25685
als_m3_cell_pdl_allnum,46878
als_m3_cell_pdl_orgnum,46878
als_m3_cell_caon_allnum,52169
als_m3_cell_caon_orgnum,52169
als_m3_cell_rel_allnum,58352
als_m3_cell_rel_orgnum,58352
als_m3_cell_caoff_allnum,73246
als_m3_cell_caoff_orgnum,73246
als_m3_cell_cooff_allnum,76981
als_m3_cell_cooff_orgnum,76981
als_m3_cell_af_allnum,91677
als_m3_cell_af_orgnum,91677
als_m3_cell_coon_allnum,82998
als_m3_cell_coon_orgnum,82998
als_m3_cell_oth_allnum,64986
als_m3_cell_oth_orgnum,64986
als_m3_cell_bank_selfnum,66416
als_m3_cell_bank_allnum,66416
als_m3_cell_bank_tra_allnum,66657
als_m3_cell_bank_ret_allnum,92868
als_m3_cell_bank_orgnum,66416
als_m3_cell_bank_tra_orgnum,66657
als_m3_cell_bank_ret_orgnum,92868
als_m3_cell_bank_tot_mons,66426
als_m3_cell_bank_avg_monnum,66426
als_m3_cell_bank_max_monnum,66426
als_m3_cell_bank_min_monnum,66426
als_m3_cell_bank_max_inteday,84929
als_m3_cell_bank_min_inteday,84929
als_m3_cell_bank_week_allnum,66416
als_m3_cell_bank_week_orgnum,66416
als_m3_cell_bank_night_allnum,66416
als_m3_cell_bank_night_orgnum,66416
als_m3_cell_nbank_selfnum,31748
als_m3_cell_nbank_allnum,31748
als_m3_cell_nbank_p2p_allnum,69719
als_m3_cell_nbank_mc_allnum,86419
als_m3_cell_nbank_ca_allnum,51435
als_m3_cell_nbank_cf_allnum,42532
als_m3_cell_nbank_com_allnum,91356
als_m3_cell_nbank_oth_allnum,60391
als_m3_cell_nbank_nsloan_allnum,57628
als_m3_cell_nbank_autofin_allnum,93233
als_m3_cell_nbank_sloan_allnum,60611
als_m3_cell_nbank_cons_allnum,57888
als_m3_cell_nbank_finlea_allnum,84289
als_m3_cell_nbank_else_allnum,46297
als_m3_cell_nbank_orgnum,31748
als_m3_cell_nbank_p2p_orgnum,69719
als_m3_cell_nbank_mc_orgnum,86419
als_m3_cell_nbank_ca_orgnum,51435
als_m3_cell_nbank_cf_orgnum,42532
als_m3_cell_nbank_com_orgnum,91356
als_m3_cell_nbank_oth_orgnum,60391
als_m3_cell_nbank_nsloan_orgnum,57628
als_m3_cell_nbank_autofin_orgnum,93233
als_m3_cell_nbank_sloan_orgnum,60611
als_m3_cell_nbank_cons_orgnum,57888
als_m3_cell_nbank_finlea_orgnum,84289
als_m3_cell_nbank_else_orgnum,46297
als_m3_cell_nbank_tot_mons,31755
als_m3_cell_nbank_avg_monnum,31755
als_m3_cell_nbank_max_monnum,31755
als_m3_cell_nbank_min_monnum,31755
als_m3_cell_nbank_max_inteday,44864
als_m3_cell_nbank_min_inteday,44864
als_m3_cell_nbank_week_allnum,31748
als_m3_cell_nbank_week_orgnum,31748
als_m3_cell_nbank_night_allnum,31748
als_m3_cell_nbank_night_orgnum,31748
als_m6_id_max_inteday,29837
als_m6_id_min_inteday,29837
als_m6_id_tot_mons,18138
als_m6_id_avg_monnum,18138
als_m6_id_max_monnum,18138
als_m6_id_min_monnum,18138
als_m6_id_pdl_allnum,36202
als_m6_id_pdl_orgnum,36202
als_m6_id_caon_allnum,44620
als_m6_id_caon_orgnum,44620
als_m6_id_rel_allnum,48553
als_m6_id_rel_orgnum,48553
als_m6_id_caoff_allnum,63567
als_m6_id_caoff_orgnum,63567
als_m6_id_cooff_allnum,66005
als_m6_id_cooff_orgnum,66005
als_m6_id_af_allnum,90074
als_m6_id_af_orgnum,90074
als_m6_id_coon_allnum,76474
als_m6_id_coon_orgnum,76474
als_m6_id_oth_allnum,54957
als_m6_id_oth_orgnum,54957
als_m6_id_bank_selfnum,57943
als_m6_id_bank_allnum,57943
als_m6_id_bank_tra_allnum,58354
als_m6_id_bank_ret_allnum,92558
als_m6_id_bank_orgnum,57943
als_m6_id_bank_tra_orgnum,58354
als_m6_id_bank_ret_orgnum,92558
als_m6_id_bank_tot_mons,57949
als_m6_id_bank_avg_monnum,57949
als_m6_id_bank_max_monnum,57949
als_m6_id_bank_min_monnum,57949
als_m6_id_bank_max_inteday,78505
als_m6_id_bank_min_inteday,78505
als_m6_id_bank_week_allnum,57943
als_m6_id_bank_week_orgnum,57943
als_m6_id_bank_night_allnum,57943
als_m6_id_bank_night_orgnum,57943
als_m6_id_nbank_selfnum,22839
als_m6_id_nbank_allnum,22839
als_m6_id_nbank_p2p_allnum,56116
als_m6_id_nbank_mc_allnum,80702
